"©Blast Motion. All rights reserved."
"注： このデータへのアクセスと使用には、Blast Motion利用規約およびエンドユーザー使用許諾契約が適用されます。利用規約およびエンドユーザー使用許諾契約：https://blastmotion.com/terms-of-service/"
メールアドレス:,japanwinterleague202315@gmail.com
チーム:,"Japan Winter League"
競技:,Baseball
報告日:,"11月 25, 2025 12:47:07 午後"
期間:,"11月 11, 2025 - 11月 25, 2025"

日付,バット,利き腕,スイング条件,オンプレーンスコア,体とバットの角度スコア,体の回転による加速スコア,"バットスピード (mph)","体の回転によるバットの加速の大きさ（初動） (g)","オンプレーンの効率 (%)","アッパースイング度 (deg)"," 体とバットの角度（構え） (deg)"," 体とバットの角度（インパクト） (deg)"," バット角度 (deg)","パワー (kW)","スイング時間 (sec)","手の最大スピード (mph)","打球スピード (mph)","打球角度 (deg)","推定飛距離 (feet)"
"11月 24, 2025 04:03:41 午後","Winter League Bat",左,"In Game",48,45,52,67.7,10.6,63,5,94,63,-24,4.56,0.13,21.5,,,
"11月 24, 2025 04:02:52 午後","Winter League Bat",左,"In Game",49,42,63,74.7,14.7,65,20,86,59,-23,4.56,0.16,22.7,,,
"11月 24, 2025 03:23:00 午後","Winter League Bat",右,"In Game",44,47,56,55.6,12.3,60,-2,115,93,-29,2.73,0.14,20.3,,,
"11月 24, 2025 03:10:54 午後","Winter League Bat",左,"In Game",54,42,63,72.1,14.8,70,7,79,67,-37,4.47,0.15,23.2,,,
"11月 24, 2025 02:54:44 午後","Winter League Bat",右,"In Game",59,80,52,62,10.7,75,-1,93,89,-40,3.22,0.15,21.8,,,
"11月 24, 2025 02:43:19 午後","Winter League Bat",左,"In Game",55,50,80,71.4,21.6,71,10,78,78,-49,4.65,0.14,25.2,,,
"11月 24, 2025 02:28:47 午後","Winter League Bat",右,"In Game",54,51,46,51.9,8.3,70,-8,107,96,-33,2.41,0.14,20.2,,,
"11月 24, 2025 02:28:07 午後","Winter League Bat",右,"In Game",58,63,53,51.5,11.1,74,8,84,97,-25,2.29,0.15,18.6,,,
"11月 24, 2025 02:27:12 午後","Winter League Bat",右,"In Game",59,80,59,66.5,13.4,75,9,93,92,-31,3.48,0.16,21.8,,,
"11月 24, 2025 02:08:31 午後","Winter League Bat",左,"In Game",39,57,73,74.3,18.6,53,7,98,81,-35,5.78,0.12,24,,,
"11月 24, 2025 12:03:46 午後","Winter League Bat",左,"In Game",42,75,63,63.2,14.9,57,9,91,85,-14,3.11,0.16,20.6,,,
"11月 24, 2025 12:03:13 午後","Winter League Bat",左,"In Game",62,45,65,61.4,15.7,79,1,71,78,-33,3.25,0.15,21.7,,,
"11月 24, 2025 12:02:46 午後","Winter League Bat",左,"In Game",59,50,67,60.2,16.5,75,-3,75,81,-28,3.25,0.14,21.6,,,
"11月 24, 2025 11:31:22 午前","Winter League Bat",右,"In Game",65,62,68,70.4,16.9,81,11,87,79,-36,4.71,0.13,22.2,,,
"11月 24, 2025 11:13:23 午前","Winter League Bat",左,"In Game",53,62,62,59.7,14.6,69,5,84,82,-16,3.25,0.14,19.8,,,
"11月 24, 2025 11:13:04 午前","Winter League Bat",左,"In Game",59,55,68,59.1,16.7,76,2,82,78,-16,3.42,0.13,20.1,,,
"11月 24, 2025 10:53:36 午前","Winter League Bat",右,"In Game",54,58,57,68.1,12.5,70,21,91,76,-23,4.05,0.15,19.9,,,
"11月 24, 2025 10:53:04 午前","Winter League Bat",右,"In Game",68,54,58,68,13.1,85,7,86,74,-37,4.21,0.14,21.6,,,
"11月 24, 2025 10:36:54 午前","Winter League Bat",左,"In Game",57,66,60,59.8,13.8,73,4,83,85,-18,3.12,0.15,19.6,,,
"11月 24, 2025 10:36:05 午前","Winter League Bat",左,"In Game",66,34,72,53.3,18.1,83,9,61,71,-24,2.58,0.14,17.2,,,
"11月 24, 2025 10:35:33 午前","Winter League Bat",左,"In Game",62,48,69,59.6,17.2,79,-14,79,75,-23,3.72,0.12,21.3,,,
"11月 24, 2025 10:26:51 午前","Winter League Bat",右,"In Game",54,44,65,73.1,15.6,70,19,93,61,-8,3.87,0.18,21.6,,,
"11月 23, 2025 03:54:50 午後","Winter League Bat",左,"In Game",50,52,52,71.8,10.8,65,12,87,70,-19,4.57,0.14,20.6,,,
"11月 23, 2025 03:15:14 午後","Winter League Bat",左,"In Game",52,50,46,69.8,8.4,68,14,85,70,-24,3.98,0.16,21.4,,,
"11月 23, 2025 02:55:40 午後","Winter League Bat",右,"In Game",45,45,64,69.9,15.2,60,22,82,67,-13,3.58,0.17,21.3,,,
"11月 23, 2025 02:54:59 午後","Winter League Bat",右,"In Game",52,45,73,69.3,18.6,68,23,83,67,-11,3.44,0.18,21.5,,,
"11月 23, 2025 02:35:32 午後","Winter League Bat",左,"In Game",43,68,58,67.9,13,58,15,93,82,-31,4.09,0.14,23.5,,,
"11月 23, 2025 02:34:45 午後","Winter League Bat",左,"In Game",40,50,45,68,8,55,22,110,86,-14,4.04,0.15,20.4,,,
"11月 23, 2025 02:16:37 午後","Winter League Bat",右,"In Game",60,55,61,60.1,14,76,15,79,82,-31,2.81,0.16,20,,,
"11月 23, 2025 11:52:17 午前","Winter League Bat",右,"In Game",70,27,37,52,4.9,88,36,79,39,10,1.39,0.25,19.1,,,
